0c33291,Dylan Bennett,2026-02-02,Merge pull request #3 from Plymouth-University/chore/repo-detox
cc9063c,Dylan Bennett,2026-02-02,added base social page structure
6096791,Dylan Bennett,2026-01-16,registration works now
6233da9,bobbymilo12,2026-01-16,Backend Comments
f7eb697,Dylan Bennett,2026-01-16,Merge pull request #2 from Plymouth-University/chore/repo-detox
512c968,Dylan Bennett,2026-01-16,logging in actually works again
c11da13,Dylan Bennett,2026-01-16,now easy to run straight from new codespace, auto generates/fills .env files for front/backend
50fe887,Dylan Bennett,2026-01-08,added .env.examples
8b53273,Dylan Bennett,2026-01-08,don't need to manually set API url anymore
5b09a66,Dylan Bennett,2026-01-08,chore: repo detox (structure, ignores, env examples, scripts)
53882c8,bobbymilo12,2025-11-29,Co-authored-by: Dylan Bennett <DB14823@users.noreply.github.com>
67f5e31,bobbymilo12,2025-11-25,Y
0398df2,bobbymilo12,2025-11-25,Removed ERROR debug
98994e9,bobbymilo12,2025-11-25,Added auth API backend
41f9f6e,Dylan Bennett,2025-11-24,Set up database (Kam)
682d577,bobbymilo12,2025-11-24,Dev container setup
47de104,Dylan Bennett,2025-11-17,commit
1372968,Dylan Bennett,2025-11-17,added basic social feed UI, fixed some styling/position issues
38660d9,Dylan Bennett,2025-11-17,altered some designs, added refresh functionality
a1c69ad,Dylan Bennett,2025-11-11,Merge pull request #1 from Plymouth-University/dylan-frontend
a59abf4,dylanbennett,2025-11-11,Added login and event view ui
f968a06,dylanbennett,2025-11-10,Added frontend folder
147bf75,github-classroom[bot],2025-11-03,add online IDE url; add deadline
2de9345,kenobicjj,2025-10-02,Update hello.txt
f119c17,github-classroom[bot],2025-09-24,Initial commit
